month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,latitude,longitude,Nearest MRT Station,Distance (km),Nearest Shopping Mall,Mall Distance (km)
2017-01,CENTRAL AREA,2 ROOM,9,JLN KUKOH,04 TO 06,55.0,Improved,1982,64 years,250000.0,1.2872445,103.8394871,Chinatown,0.5480931851813337,PEOPLE'S PARK COMPLEX,0.4884936914535764
2017-01,CENTRAL AREA,3 ROOM,640,ROWELL RD,01 TO 03,84.0,Model A,1984,66 years 05 months,360000.0,1.3074168,103.8550556,Jalan Besar,0.21189010601290226,MUSTAFA CENTRE,0.3008531029235352
2017-01,CENTRAL AREA,3 ROOM,264,WATERLOO ST,16 TO 18,68.0,Improved,1986,68 years 09 months,400000.0,1.2990189,103.8522801,Bencoolen,0.26226502501088994,POMO,0.353014864181821
2017-01,CENTRAL AREA,3 ROOM,32,NEW MKT RD,07 TO 09,66.0,Standard,1983,65 years 03 months,428000.0,1.2850983,103.8425388,Chinatown,0.1345758550983162,THE MAJESTIC,0.08439671954409353
2017-01,CENTRAL AREA,3 ROOM,5,TG PAGAR PLAZA,07 TO 09,59.0,Improved,1977,59 years 01 month,455000.0,1.2762681,103.8430291,Tanjong Pagar,0.41618011124037346,100 AM,0.1931375367283581
2017-01,CENTRAL AREA,3 ROOM,271,QUEEN ST,16 TO 18,68.0,Improved,1979,61 years 02 months,470000.0,1.30093775,103.8539812,Bugis,0.21137124000253482,FU LU SHOU COMPLEX,0.08091561778795821
2017-01,CENTRAL AREA,3 ROOM,271,QUEEN ST,16 TO 18,68.0,Improved,1979,61 years 02 months,470000.0,1.30093775,103.8539812,Bugis,0.21137124000253482,FU LU SHOU COMPLEX,0.08091561778795821
2017-01,CENTRAL AREA,4 ROOM,232,BAIN ST,16 TO 18,82.0,Improved,1980,62 years 04 months,685000.0,1.2976486,103.8532702,Bras Basah,0.29367682529029354,BUGIS CUBE,0.2720368669404323
2017-01,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,04 TO 06,93.0,Type S1,2011,93 years,788000.0,1.27743925,103.8416672,Outram Park,0.4034809975119698,100 AM,0.37509763442603444
2017-01,CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,04 TO 06,95.0,Type S1,2011,93 years,818000.0,1.2759757,103.8412094,Outram Park,0.5206800315396286,100 AM,0.2949507235868051
